Vehicle type,Model,Battery technology,Charging type,Battery capacity (kWh)
3W,VICTORY,-,AC slow,3.84
3W,VICTORY VIKRANT,Li-Ion,AC slow,5.2
3W,VICTORY VIJETA,Li-Ion,AC slow,5.2
3W,VICTORY SUMFOIL,Li-Ion,AC slow,5.2
3W,VICTORY Bhim,Li-Ion,AC slow,5.2
3W,VICTORY Bhim CLEANER+,Li-Ion,AC slow,5.2
3W,KOOZIE ER,Li-Ion,AC slow,5.2
3W,E PARIVAHAN,VRLA,AC slow,4.8
3W,Mini Metro,VRLA,AC slow,3.84
3W,THOR,VRLA,AC slow,7.2
3W,DON,VRLA,AC slow,7.2
3W,SHAHENSHAH,VRLA,AC slow,4.8
3W,RICHLOOK,VRLA,AC slow,7.2
3W,Motrac Raftaar,VRLA,AC slow,4.8
3W,Motrac Loader,VRLA,AC slow,4.08
3W,SKYRIDE ER,VRLA,AC slow,5.76
3W,SKYRIDE E-Cart,VRLA,AC slow,5.76
3W,Swastik,VRLA,AC slow,
3W,VEER,VRLA,AC slow,4.8
3W,VEER CARGO,VRLA,AC slow,4.8
4W,"

KONA",Li-Ion,AC/DC charging,39.2
4W,Nexon EV,Li-Ion,AC/DC charging,30.2
4W,Tigor EV 2021,Li-Ion,AC/DC charging,26
4W,e20 Plus P6,Li-Ion,AC/DC charging,10.8
4W,e-Verito D6,Li-Ion,AC/DC charging,18.55
4W,e-Supro Cargo Van,Li-Ion,AC/DC charging,14.4
4W,ZS EV,Li-Ion,AC/DC charging,44.5
4W,EQC,Li-Ion,AC/DC charging,80
4W,"

i-Pace",Li-Ion,AC/DC charging,90
4W,iX,Li-Ion,AC/DC charging,76.6
4W,e-Tron GT,Li-Ion,AC/DC charging,83.7
4W,RS e-Tron GT,Li-Ion,AC/DC charging,93.4
4W,Saarathi Golf Cart,Li-Ion,AC/DC charging,8.1
